Rauchmelder Studio: Home Security - Cover status;sensor.smoke_studio_home_security_cover_status;sensor.smoke_studio_cover_state
Rauchmelder Studio: Node Status;sensor.smoke_studio_node_status;sensor.smoke_studio_node_state
Rauchmelder Studio: Power Management - Battery maintenance status;sensor.smoke_studio_power_management_battery_maintenance_status;sensor.smoke_studio_battery_maintenance_state
Rauchmelder Studio: Smoke Alarm - Alarm status;sensor.smoke_studio_smoke_alarm_alarm_status;sensor.smoke_studio_alarm_state
Rauchmelder Studio: Smoke Alarm - Sensor status;sensor.smoke_studio_smoke_alarm_sensor_status;sensor.smoke_studio_alarm_sensor_state
Rauchmelder Studio: System - Hardware status;sensor.smoke_studio_system_hardware_status;sensor.smoke_studio_hardware_state
Rauchmelder Schlafzimmer: Home Security - Tampering;binary_sensor.smoke_sz_home_security_tampering_product_cover_removed;binary_sensor.smoke_sz_cover_removed
Rauchmelder Schlafzimmer: Low battery level;binary_sensor.smoke_sz_low_battery_level;binary_sensor.smoke_sz_low_battery_level
Rauchmelder Schlafzimmer: Power Management - Replace battery soon;binary_sensor.smoke_sz_power_management_replace_battery_soon;binary_sensor.smoke_sz_replace_battery_soon
Rauchmelder Schlafzimmer: Smoke Alarm - Smoke alarm test;binary_sensor.smoke_sz_smoke_alarm_smoke_alarm_test;binary_sensor.smoke_sz_smoke_alarm_test
Rauchmelder Schlafzimmer: Smoke Alarm - Smoke detected;binary_sensor.smoke_sz_smoke_alarm_smoke_detected;binary_sensor.smoke_sz_smoke_detected
Rauchmelder Schlafzimmer: System - System hardware failure;binary_sensor.smoke_sz_system_system_hardware_failure;binary_sensor.smoke_sz_hardware_failure
Rauchmelder Schlafzimmer Zuletzt gesehen;sensor.rauchmelder_schlafzimmer_zuletzt_gesehen;sensor.smoke_sz_last_seen
Rauchmelder Schlafzimmer: Air temperature;sensor.smoke_sz_air_temperature;sensor.smoke_sz_air_temperature
Rauchmelder Schlafzimmer;sensor.smoke_sz_battery_level;sensor.smoke_sz_battery_level
Rauchmelder Schlafzimmer: Heat Alarm - Heat sensor status;sensor.smoke_sz_heat_alarm_heat_sensor_status;sensor.smoke_sz_heat_sensor_state
Rauchmelder Schlafzimmer: Home Security - Cover status;sensor.smoke_sz_home_security_cover_status;sensor.smoke_sz_cover_state
Home Security Motion sensor status;sensor.smoke_sz_home_security_motion_sensor_status;sensor.smoke_sz_motion_sensor_state
Rauchmelder Schlafzimmer: Node Status;sensor.smoke_sz_node_status;sensor.smoke_sz_node_state
Rauchmelder Schlafzimmer: Power Management - Battery maintenance status;sensor.smoke_sz_power_management_battery_maintenance_status;sensor.smoke_sz_battery_maintenance_state
Rauchmelder Schlafzimmer: Smoke Alarm - Alarm status;sensor.smoke_sz_smoke_alarm_alarm_status;sensor.smoke_sz_alarm_state
Rauchmelder Schlafzimmer: Smoke Alarm - Sensor status;sensor.smoke_sz_smoke_alarm_sensor_status;sensor.smoke_sz_alarm_sensor_state
Rauchmelder Schlafzimmer: System - Hardware status;sensor.smoke_sz_system_hardware_status;sensor.smoke_sz_hardware_state
Rauchmelder Werkstatt Low battery level;binary_sensor.smoke_werkstatt_low_battery_level;binary_sensor.smoke_werkstatt_low_battery_level
Rauchmelder Werkstatt Replace battery soon;binary_sensor.smoke_werkstatt_replace_battery_soon;binary_sensor.smoke_werkstatt_replace_battery_soon
Rauchmelder Werkstatt Smoke alarm test;binary_sensor.smoke_werkstatt_smoke_alarm_test;binary_sensor.smoke_werkstatt_smoke_alarm_test
Rauchmelder Werkstatt Smoke detected;binary_sensor.smoke_werkstatt_smoke_detected;binary_sensor.smoke_werkstatt_smoke_detected
Rauchmelder Werkstatt System hardware failure;binary_sensor.smoke_werkstatt_system_hardware_failure;binary_sensor.smoke_werkstatt_hardware_failure
Rauchmelder Werkstatt Air temperature;sensor.smoke_werkstatt_air_temperature;sensor.smoke_werkstatt_air_temperature
Rauchmelder Werkstatt Battery level;sensor.smoke_werkstatt_battery_level;sensor.smoke_werkstatt_battery_level
Rauchmelder Werkstatt Status des Knotens;sensor.smoke_werkstatt_status_des_knotens;sensor.smoke_werkstatt_node_state
Rauchmelder Werkstatt Zuletzt gesehen;sensor.smoke_werkstatt_zuletzt_gesehen;sensor.smoke_werkstatt_last_seen
Rauchmelder WZ Low battery level;binary_sensor.smoke_wz_low_battery_level;binary_sensor.smoke_wz_low_battery_level
Rauchmelder WZ Replace battery soon;binary_sensor.smoke_wz_replace_battery_soon;binary_sensor.smoke_wz_replace_battery_soon
Rauchmelder WZ Smoke alarm test;binary_sensor.smoke_wz_smoke_alarm_test;binary_sensor.smoke_wz_smoke_alarm_test
Rauchmelder WZ Smoke detected;binary_sensor.smoke_wz_smoke_detected;binary_sensor.smoke_wz_smoke_detected
Rauchmelder WZ Air temperature;sensor.smoke_wz_air_temperature;sensor.smoke_wz_air_temperature
Rauchmelder WZ Battery level;sensor.smoke_wz_battery_level;sensor.smoke_wz_battery_level
Rauchmelder WZ Status des Knotens;sensor.smoke_wz_status_des_knotens;sensor.smoke_wz_node_state
Rauchmelder WZ Zuletzt gesehen;sensor.smoke_wz_zuletzt_gesehen;sensor.smoke_wz_last_seen
